Tabla;Nombre Dato;Tipo de dato;Longitud;Clave;Obligatoriedad;Detalle
Credit_history;event;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'event' de la historial de cambios y auditoría de los créditos.
Credit_history;description;Texto;Variable;-;Opcional (NULL);Campo 'description' de la historial de cambios y auditoría de los créditos.
Credit_history;created_at;Fecha y Hora;;-;Opcional (NULL);Campo 'created_at' de la historial de cambios y auditoría de los créditos.
Credit_items;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Artículos (productos) asociados a un crédito.
Credit_items;credit_id;Número Entero;;FK;Obligatorio (NOT NULL);Referencia a credits.id. Artículos (productos) asociados a un crédito.
Credit_items;product_id;Texto;Variable;-;Obligatorio (NOT NULL);Shopify Product ID
Credit_items;product_code;Texto;Variable;-;Opcional (NULL);SKU del producto
Credit_items;product_name;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'product_name' de la artículos (productos) asociados a un crédito.
Credit_items;unit_price;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'unit_price' de la artículos (productos) asociados a un crédito.
Credit_items;quantity;Número Entero;;-;Obligatorio (NOT NULL);Campo 'quantity' de la artículos (productos) asociados a un crédito.
Payment_tokens;id;Identificador Único (UUID);;PK;Obligatorio (NOT NULL);Identificador principal. Tokens generados para procesar pagos seguros.
Payment_tokens;token;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'token' de la tokens generados para procesar pagos seguros.
Payment_tokens;payment_id;Número Entero;;FK;Obligatorio (NOT NULL);Referencia a payments.id. Tokens generados para procesar pagos seguros.
Payment_tokens;merchant_id;Identificador Único (UUID);;FK;Obligatorio (NOT NULL);Referencia a merchants.id. Tokens generados para procesar pagos seguros.
Payment_tokens;customer_email;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'customer_email' de la tokens generados para procesar pagos seguros.
Payment_tokens;expires_at;Fecha y Hora;;-;Obligatorio (NOT NULL);Campo 'expires_at' de la tokens generados para procesar pagos seguros.
Payment_tokens;used_at;Fecha y Hora;;-;Opcional (NULL);Campo 'used_at' de la tokens generados para procesar pagos seguros.
Payment_tokens;created_at;Fecha y Hora;;-;Opcional (NULL);Campo 'created_at' de la tokens generados para procesar pagos seguros.
Payment_proofs;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Comprobantes de pago subidos por los clientes.
Payment_proofs;token_id;Identificador Único (UUID);;FK;Obligatorio (NOT NULL);Referencia a payment_tokens.id. Comprobantes de pago subidos por los clientes.
Payment_proofs;reference_number;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'reference_number' de la comprobantes de pago subidos por los clientes.
Payment_proofs;bank_name;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'bank_name' de la comprobantes de pago subidos por los clientes.
Payment_proofs;amount;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'amount' de la comprobantes de pago subidos por los clientes.
Payment_proofs;notes;Texto;Variable;-;Opcional (NULL);Campo 'notes' de la comprobantes de pago subidos por los clientes.
Payment_proofs;submitted_at;Fecha y Hora;;-;Opcional (NULL);Campo 'submitted_at' de la comprobantes de pago subidos por los clientes.
Payment_proofs;status;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'status' de la comprobantes de pago subidos por los clientes.
Audit_logs;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Registros de auditoría de acciones sensibles en el sistema.
Audit_logs;merchant_id;Identificador Único (UUID);;-;Opcional (NULL);Campo 'merchant_id' de la registros de auditoría de acciones sensibles en el sistema.
Audit_logs;entity_name;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'entity_name' de la registros de auditoría de acciones sensibles en el sistema.
Audit_logs;entity_id;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'entity_id' de la registros de auditoría de acciones sensibles en el sistema.
Audit_logs;action;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'action' de la registros de auditoría de acciones sensibles en el sistema.
Audit_logs;timestamp;Fecha y Hora;;-;Obligatorio (NOT NULL);Campo 'timestamp' de la registros de auditoría de acciones sensibles en el sistema.
Audit_logs;changes;Objeto JSON;;-;Opcional (NULL);Campo 'changes' de la registros de auditoría de acciones sensibles en el sistema.
